Номер строки в заказе/релизе,Код позиции ЕНС,Наименование позиции ЕНС,Единица измерения,Заказанное количество,Полученное количество,В пути,Длина,Ширина,Высота,Объём,Общий объём,Организация-получатель,Дата исполнения заказа/договора,Группа,Наименовнание группы,БС,Месяц,Год
6.0,181.346.000061,Набор заземления ODU/Объединитель стволов,штука,154.0,0.0,154.0,",16",",18",",235",",006768",1.042272,101,01.02.2021,181.0,РРЛ,0,2.0,2021.0
7.0,181.179.000088,"SFP интерфейс, оболочка, концевая заделка кабеля W/GLAND w extension tube для Ultralink-GX80",штука,308.0,0.0,308.0,",02",",02",",05",",00002",0.00616,101,01.02.2021,181.0,РРЛ,0,2.0,2021.0
8.0,181.179.000085,"RJ45 интерфейс, оболочка, концевая заделка кабеля W/GLAND для Ultralink-GX80",штука,154.0,0.0,154.0,",02",",02",",05",",00002",0.00308,101,01.02.2021,181.0,РРЛ,0,2.0,2021.0
9.0,243.179.000078,"Кабель питания постоянного тока DC, 2x2.5 мм2,1kV,черный, NYY-O, UV-rated, industrial (м)",Метр,15400.0,0.0,15400.0,",01",",01",1,",0001",1.54,101,01.02.2021,243.0,АФУ,0,2.0,2021.0
10.0,242.179.000003,"Кабель ETHERNET CABLE,4x2xAWG24,SLD,S-FTP,CAT5E,BLK,UV, StreetNode, РРЛ INT (ETH-CAB-SFTP)",Метр,15400.0,0.0,15400.0,",01",",01",1,",0001",1.54,101,01.02.2021,242.0,АФУ,0,2.0,2021.0
11.0,213.179.000006,"Разъем RJ45 экранированный для ETHERNET кабеля, StreetNode, РРЛ INT (ST-RJ45-0000)",штука,308.0,0.0,308.0,",2",",3",",02",",0012",0.3696,101,01.02.2021,213.0,АФУ,0,2.0,2021.0
12.0,181.179.000086,"Модуль 10Gbit/s, SFP+, SM , 10GBase-LR, 10km, 1310nm, LC DUPLEX, INDL",штука,53.0,0.0,53.0,",02",",02",",05",",00002",0.00106,101,01.02.2021,181.0,РРЛ,0,2.0,2021.0
13.0,181.179.000087,Набор для измерения RSSI для UltraLink-GX80 - многократного использования,штука,10.0,0.0,10.0,",02",",03",",15",",00009",0.0009,101,01.02.2021,181.0,РРЛ,0,2.0,2021.0
1.0,161.179.000626,"Радиоблок Intracom UltraLink-GX80, полностью наружное размещение, 71..76ГГц/81..86ГГц, 4Гбит/с, Configuration 2.1, 1+0 at 3Гбит/с, High",штука,3.0,0.0,3.0,",37",",25",",47",",043475",0.130425,101,,161.0,РРЛ,0,1.0,1900.0
2.0,161.179.000627,"Радиоблок Intracom UltraLink-GX80, полностью наружное размещение, 71..76ГГц/81..86ГГц, 4Гбит/с, Configuration 2.1, 1+0 at 3Гбит/с, Low",штука,3.0,0.0,3.0,",38",",27",",5",",0513",0.1539,101,,161.0,РРЛ,0,1.0,1900.0
3.0,157.179.000136,"Антенна интегрированная параболическая E-Band для радиоблока Intracom UltraLink FX80 с полностью наружным размещением, диаметр 20см, в составе: монтажный комплект (для стойки диаметром 50мм..115мм)",штука,6.0,0.0,6.0,",4",",4",",35",",056",0.336,101,,157.0,РРЛ,0,1.0,1900.0
4.0,181.346.000061,Набор заземления ODU/Объединитель стволов,штука,6.0,0.0,6.0,",16",",18",",235",",006768",0.040608,101,,181.0,РРЛ,0,1.0,1900.0
5.0,181.179.000088,"SFP интерфейс, оболочка, концевая заделка кабеля W/GLAND w extension tube для Ultralink-GX80",штука,12.0,0.0,12.0,",02",",02",",05",",00002",0.00024,101,,181.0,РРЛ,0,1.0,1900.0
6.0,181.179.000085,"RJ45 интерфейс, оболочка, концевая заделка кабеля W/GLAND для Ultralink-GX80",штука,6.0,0.0,6.0,",02",",02",",05",",00002",0.00012,101,,181.0,РРЛ,0,1.0,1900.0
7.0,243.179.000078,"Кабель питания постоянного тока DC, 2x2.5 мм2,1kV,черный, NYY-O, UV-rated, industrial (м)",Метр,600.0,0.0,600.0,",01",",01",1,",0001",0.06,101,,243.0,АФУ,0,1.0,1900.0
8.0,242.179.000003,"Кабель ETHERNET CABLE,4x2xAWG24,SLD,S-FTP,CAT5E,BLK,UV, StreetNode, РРЛ INT (ETH-CAB-SFTP)",Метр,600.0,0.0,600.0,",01",",01",1,",0001",0.06,101,,242.0,АФУ,0,1.0,1900.0
9.0,213.179.000006,"Разъем RJ45 экранированный для ETHERNET кабеля, StreetNode, РРЛ INT (ST-RJ45-0000)",штука,12.0,0.0,12.0,",2",",3",",02",",0012",0.0144,101,,213.0,АФУ,0,1.0,1900.0
10.0,181.179.000086,"Модуль 10Gbit/s, SFP+, SM , 10GBase-LR, 10km, 1310nm, LC DUPLEX, INDL",штука,6.0,0.0,6.0,",02",",02",",05",",00002",0.00012,101,,181.0,РРЛ,0,1.0,1900.0
11.0,181.179.000087,Набор для измерения RSSI для UltraLink-GX80 - многократного использования,штука,3.0,0.0,3.0,",02",",03",",15",",00009",0.00027,101,,181.0,РРЛ,0,1.0,1900.0
12.0,161.179.000626,"Радиоблок Intracom UltraLink-GX80, полностью наружное размещение, 71..76ГГц/81..86ГГц, 4Гбит/с, Configuration 2.1, 1+0 at 3Гбит/с, High",штука,7.0,0.0,7.0,",37",",25",",47",",043475",0.304325,101,,161.0,РРЛ,0,1.0,1900.0
13.0,161.179.000627,"Радиоблок Intracom UltraLink-GX80, полностью наружное размещение, 71..76ГГц/81..86ГГц, 4Гбит/с, Configuration 2.1, 1+0 at 3Гбит/с, Low",штука,7.0,0.0,7.0,",38",",27",",5",",0513",0.3591,101,,161.0,РРЛ,0,1.0,1900.0
14.0,157.179.000136,"Антенна интегрированная параболическая E-Band для радиоблока Intracom UltraLink FX80 с полностью наружным размещением, диаметр 20см, в составе: монтажный комплект (для стойки диаметром 50мм..115мм)",штука,10.0,0.0,10.0,",4",",4",",35",",056",0.56,101,,157.0,РРЛ,0,1.0,1900.0
15.0,157.179.000127,Интегрированная параболическая антенна E-Band для радиоблока UltraLink FX80 с полностью наружным размещением - 30 см диаметром Включает монтажный комплект (для стойки диаметром 50мм-115мм),штука,2.0,0.0,2.0,",5",",47",",32",",0752",0.1504,101,,157.0,РРЛ,0,1.0,1900.0
16.0,157.179.000128,Интегрированная параболическая антенна E-Band для радиоблока UltraLink FX80 с полностью наружным размещением - 60 см диаметром Включает монтажный комплект (для стойки диаметром 50мм-115мм),штука,2.0,0.0,2.0,",48",",74",",74",",262848",0.525696,101,,157.0,РРЛ,0,1.0,1900.0
17.0,181.346.000061,Набор заземления ODU/Объединитель стволов,штука,14.0,0.0,14.0,",16",",18",",235",",006768",0.094752,101,,181.0,РРЛ,0,1.0,1900.0
18.0,181.179.000088,"SFP интерфейс, оболочка, концевая заделка кабеля W/GLAND w extension tube для Ultralink-GX80",штука,28.0,0.0,28.0,",02",",02",",05",",00002",0.00056,101,,181.0,РРЛ,0,1.0,1900.0
19.0,181.179.000085,"RJ45 интерфейс, оболочка, концевая заделка кабеля W/GLAND для Ultralink-GX80",штука,14.0,0.0,14.0,",02",",02",",05",",00002",0.00028,101,,181.0,РРЛ,0,1.0,1900.0
20.0,243.179.000078,"Кабель питания постоянного тока DC, 2x2.5 мм2,1kV,черный, NYY-O, UV-rated, industrial (м)",Метр,1400.0,0.0,1400.0,",01",",01",1,",0001",0.14,101,,243.0,АФУ,0,1.0,1900.0
21.0,242.179.000003,"Кабель ETHERNET CABLE,4x2xAWG24,SLD,S-FTP,CAT5E,BLK,UV, StreetNode, РРЛ INT (ETH-CAB-SFTP)",Метр,1400.0,0.0,1400.0,",01",",01",1,",0001",0.14,101,,242.0,АФУ,0,1.0,1900.0
22.0,213.179.000006,"Разъем RJ45 экранированный для ETHERNET кабеля, StreetNode, РРЛ INT (ST-RJ45-0000)",штука,28.0,0.0,28.0,",2",",3",",02",",0012",0.0336,101,,213.0,АФУ,0,1.0,1900.0
23.0,181.179.000087,Набор для измерения RSSI для UltraLink-GX80 - многократного использования,штука,7.0,0.0,7.0,",02",",03",",15",",00009",0.00063,101,,181.0,РРЛ,0,1.0,1900.0
24.0,161.179.000626,"Радиоблок Intracom UltraLink-GX80, полностью наружное размещение, 71..76ГГц/81..86ГГц, 4Гбит/с, Configuration 2.1, 1+0 at 3Гбит/с, High",штука,4.0,0.0,4.0,",37",",25",",47",",043475",0.1739,101,,161.0,РРЛ,0,1.0,1900.0
25.0,161.179.000627,"Радиоблок Intracom UltraLink-GX80, полностью наружное размещение, 71..76ГГц/81..86ГГц, 4Гбит/с, Configuration 2.1, 1+0 at 3Гбит/с, Low",штука,4.0,0.0,4.0,",38",",27",",5",",0513",0.2052,101,,161.0,РРЛ,0,1.0,1900.0
26.0,157.179.000136,"Антенна интегрированная параболическая E-Band для радиоблока Intracom UltraLink FX80 с полностью наружным размещением, диаметр 20см, в составе: монтажный комплект (для стойки диаметром 50мм..115мм)",штука,4.0,0.0,4.0,",4",",4",",35",",056",0.224,101,,157.0,РРЛ,0,1.0,1900.0
27.0,157.179.000127,Интегрированная параболическая антенна E-Band для радиоблока UltraLink FX80 с полностью наружным размещением - 30 см диаметром Включает монтажный комплект (для стойки диаметром 50мм-115мм),штука,2.0,0.0,2.0,",5",",47",",32",",0752",0.1504,101,,157.0,РРЛ,0,1.0,1900.0
28.0,157.179.000128,Интегрированная параболическая антенна E-Band для радиоблока UltraLink FX80 с полностью наружным размещением - 60 см диаметром Включает монтажный комплект (для стойки диаметром 50мм-115мм),штука,2.0,0.0,2.0,",48",",74",",74",",262848",0.525696,101,,157.0,РРЛ,0,1.0,1900.0
29.0,181.346.000061,Набор заземления ODU/Объединитель стволов,штука,8.0,0.0,8.0,",16",",18",",235",",006768",0.054144,101,,181.0,РРЛ,0,1.0,1900.0
30.0,181.179.000088,"SFP интерфейс, оболочка, концевая заделка кабеля W/GLAND w extension tube для Ultralink-GX80",штука,16.0,0.0,16.0,",02",",02",",05",",00002",0.00032,101,,181.0,РРЛ,0,1.0,1900.0
31.0,181.179.000085,"RJ45 интерфейс, оболочка, концевая заделка кабеля W/GLAND для Ultralink-GX80",штука,8.0,0.0,8.0,",02",",02",",05",",00002",0.00016,101,,181.0,РРЛ,0,1.0,1900.0
32.0,243.179.000078,"Кабель питания постоянного тока DC, 2x2.5 мм2,1kV,черный, NYY-O, UV-rated, industrial (м)",Метр,800.0,0.0,800.0,",01",",01",1,",0001",0.08,101,,243.0,АФУ,0,1.0,1900.0
33.0,242.179.000003,"Кабель ETHERNET CABLE,4x2xAWG24,SLD,S-FTP,CAT5E,BLK,UV, StreetNode, РРЛ INT (ETH-CAB-SFTP)",Метр,800.0,0.0,800.0,",01",",01",1,",0001",0.08,101,,242.0,АФУ,0,1.0,1900.0
34.0,213.179.000006,"Разъем RJ45 экранированный для ETHERNET кабеля, StreetNode, РРЛ INT (ST-RJ45-0000)",штука,16.0,0.0,16.0,",2",",3",",02",",0012",0.0192,101,,213.0,АФУ,0,1.0,1900.0
35.0,181.179.000087,Набор для измерения RSSI для UltraLink-GX80 - многократного использования,штука,4.0,0.0,4.0,",02",",03",",15",",00009",0.00036,101,,181.0,РРЛ,0,1.0,1900.0
1.0,161.179.000626,"Радиоблок Intracom UltraLink-GX80, полностью наружное размещение, 71..76ГГц/81..86ГГц, 4Гбит/с, Configuration 2.1, 1+0 at 3Гбит/с, High",штука,8.0,0.0,8.0,",37",",25",",47",",043475",0.3478,101,,161.0,РРЛ,0,1.0,1900.0
2.0,161.179.000627,"Радиоблок Intracom UltraLink-GX80, полностью наружное размещение, 71..76ГГц/81..86ГГц, 4Гбит/с, Configuration 2.1, 1+0 at 3Гбит/с, Low",штука,8.0,0.0,8.0,",38",",27",",5",",0513",0.4104,101,,161.0,РРЛ,0,1.0,1900.0
3.0,157.179.000136,"Антенна интегрированная параболическая E-Band для радиоблока Intracom UltraLink FX80 с полностью наружным размещением, диаметр 20см, в составе: монтажный комплект (для стойки диаметром 50мм..115мм)",штука,10.0,0.0,10.0,",4",",4",",35",",056",0.56,101,,157.0,РРЛ,0,1.0,1900.0
4.0,157.179.000127,Интегрированная параболическая антенна E-Band для радиоблока UltraLink FX80 с полностью наружным размещением - 30 см диаметром Включает монтажный комплект (для стойки диаметром 50мм-115мм),штука,6.0,0.0,6.0,",5",",47",",32",",0752",0.4512,101,,157.0,РРЛ,0,1.0,1900.0
5.0,181.346.000061,Набор заземления ODU/Объединитель стволов,штука,16.0,0.0,16.0,",16",",18",",235",",006768",0.108288,101,,181.0,РРЛ,0,1.0,1900.0
6.0,181.179.000088,"SFP интерфейс, оболочка, концевая заделка кабеля W/GLAND w extension tube для Ultralink-GX80",штука,32.0,0.0,32.0,",02",",02",",05",",00002",0.00064,101,,181.0,РРЛ,0,1.0,1900.0
7.0,181.179.000085,"RJ45 интерфейс, оболочка, концевая заделка кабеля W/GLAND для Ultralink-GX80",штука,16.0,0.0,16.0,",02",",02",",05",",00002",0.00032,101,,181.0,РРЛ,0,1.0,1900.0
8.0,243.179.000078,"Кабель питания постоянного тока DC, 2x2.5 мм2,1kV,черный, NYY-O, UV-rated, industrial (м)",Метр,1600.0,0.0,1600.0,",01",",01",1,",0001",0.16,101,,243.0,АФУ,0,1.0,1900.0
9.0,242.179.000003,"Кабель ETHERNET CABLE,4x2xAWG24,SLD,S-FTP,CAT5E,BLK,UV, StreetNode, РРЛ INT (ETH-CAB-SFTP)",Метр,1600.0,0.0,1600.0,",01",",01",1,",0001",0.16,101,,242.0,АФУ,0,1.0,1900.0
10.0,213.179.000006,"Разъем RJ45 экранированный для ETHERNET кабеля, StreetNode, РРЛ INT (ST-RJ45-0000)",штука,32.0,0.0,32.0,",2",",3",",02",",0012",0.0384,101,,213.0,АФУ,0,1.0,1900.0
11.0,181.179.000087,Набор для измерения RSSI для UltraLink-GX80 - многократного использования,штука,16.0,0.0,16.0,",02",",03",",15",",00009",0.00144,101,,181.0,РРЛ,0,1.0,1900.0
6.0,160.179.000362,"Блок внутренний OmniBAS-4W, IDU 6xGigE (2xGE/FE+4xGE/GO), 2х(1+0) XPIC, Terminal - 3.1C (iP)",штука,4.0,0.0,4.0,",07",",55",",42",",01617",0.06468,702,13.01.2021,160.0,РРЛ,0,1.0,2021.0
15.0,238.179.000017,ПЧ-кабель Intracom РРЛ 1/4 CNT-400 (ACC-CI-VV-CM-D4),Метр,140.0,0.0,140.0,1,",03",",03",",0009",0.126,702,13.01.2021,238.0,АФУ,0,1.0,2021.0
16.0,238.179.000017,ПЧ-кабель Intracom РРЛ 1/4 CNT-400 (ACC-CI-VV-CM-D4),Метр,140.0,0.0,140.0,1,",03",",03",",0009",0.126,702,13.01.2021,238.0,АФУ,0,1.0,2021.0
17.0,238.179.000017,ПЧ-кабель Intracom РРЛ 1/4 CNT-400 (ACC-CI-VV-CM-D4),Метр,720.0,0.0,720.0,1,",03",",03",",0009",0.648,702,13.01.2021,238.0,АФУ,0,1.0,2021.0
18.0,238.179.000017,ПЧ-кабель Intracom РРЛ 1/4 CNT-400 (ACC-CI-VV-CM-D4),Метр,1000.0,0.0,1000.0,1,",03",",03",",0009",0.9,702,13.01.2021,238.0,АФУ,0,1.0,2021.0
1.0,160.179.000356,"Блок внутренний OmniBAS-2Wcx, IDU 6xGig-ETH, S, 1+0, Terminal - 2A (iP)",штука,2.0,0.0,2.0,",15",",35",",55",",028875",0.05775,702,,160.0,РРЛ,0,1.0,1900.0
2.0,160.179.000356,"Блок внутренний OmniBAS-2Wcx, IDU 6xGig-ETH, S, 1+0, Terminal - 2A (iP)",штука,22.0,0.0,22.0,",15",",35",",55",",028875",0.63525,702,,160.0,РРЛ,0,1.0,1900.0
3.0,160.179.000360,"Блок внутренний OmniBAS-2Wcx, IDU 6xGig-ETH, S, 1х(1+0) XPIC, Terminal - 3A (iP)",штука,2.0,0.0,2.0,",15",",3",",45",",02025",0.0405,702,,160.0,РРЛ,0,1.0,1900.0
4.0,160.179.000360,"Блок внутренний OmniBAS-2Wcx, IDU 6xGig-ETH, S, 1х(1+0) XPIC, Terminal - 3A (iP)",штука,2.0,0.0,2.0,",15",",3",",45",",02025",0.0405,702,,160.0,РРЛ,0,1.0,1900.0
5.0,161.179.000483,"Внешний радиоблок ODU 11 ГГц, DS 530 МГц, Hi HP, SB 2",штука,2.0,0.0,2.0,",2",",33",",33",",02178",0.04356,702,,161.0,РРЛ,0,1.0,1900.0
6.0,213.179.000003,Разъем N-type male для ПЧ кабеля 1/4,штука,150.0,0.0,150.0,",02",",12",",115",",000276",0.0414,702,,213.0,АФУ,0,1.0,1900.0
7.0,238.179.000005,Кабель RRL INT IF 1/4 Cable G03-000/72,Метр,6000.0,0.0,6000.0,"1,31",",8","1,2",",0008384",5.0304,702,,238.0,АФУ,0,1.0,1900.0
8.0,157.179.000105,"Антенна PAR 1.2M, 10-11.7 GHz, OMT, XPIC",штука,2.0,0.0,2.0,"1,53",",41","1,4",",87822",1.75644,702,,157.0,РРЛ,0,1.0,1900.0
9.0,163.179.000048,"Антенна PAR 0.6м,17.7-19.7ГГц,OMT,XPIC",штука,2.0,0.0,2.0,",7",",6",",7",",294",0.588,702,,163.0,РРЛ,0,1.0,1900.0
1.0,241.346.003478,Патч-корд оптический FC/UPC-FC/UPC 3м simplex,штука,110.0,0.0,110.0,",22",",22",",01",",000484",0.05324,304,06.02.2021,241.0,Кабель для БС,0,2.0,2021.0
2.0,241.346.004195,"Оптический патч-корд FC/UPC-SC/UPC, 3м",штука,40.0,0.0,40.0,",22",",22",",01",",000484",0.01936,304,06.02.2021,241.0,Кабель для БС,0,2.0,2021.0
3.0,241.346.003483,Патч-корд оптический FC/UPC-LC/UPC 5м simplex,штука,50.0,0.0,50.0,",1",",1",",01",",0001",0.005,304,06.02.2021,241.0,Кабель для БС,0,2.0,2021.0
4.0,241.346.003484,Патч-корд оптический FC/UPC-LC/UPC 10м simplex,штука,50.0,0.0,50.0,",2",",2",",01",",0004",0.02,304,06.02.2021,241.0,Кабель для БС,0,2.0,2021.0
6.0,181.179.000088,"SFP интерфейс, оболочка, концевая заделка кабеля W/GLAND w extension tube для Ultralink-GX80",штука,1028.0,0.0,1028.0,",02",",02",",05",",00002",0.02056,101,07.01.2021,181.0,РРЛ,0,1.0,2021.0
7.0,181.179.000085,"RJ45 интерфейс, оболочка, концевая заделка кабеля W/GLAND для Ultralink-GX80",штука,514.0,200.0,314.0,",02",",02",",05",",00002",0.01028,101,07.01.2021,181.0,РРЛ,0,1.0,2021.0
12.0,181.346.000238,"Волоконно-оптический кабель, внешний, DX,SM,2xLC/PC-LC/PC, 25 м",штука,250.0,180.0,70.0,",07",",38",",36",",009576",2.394,101,07.01.2021,181.0,РРЛ,0,1.0,2021.0
13.0,181.346.000237,"Волоконно-оптический кабель, внешний, DX,SM,2xLC/PC-LC/PC, 50 м",штука,600.0,564.0,36.0,",07",",38",",36",",009576",5.7456,101,07.01.2021,181.0,РРЛ,0,1.0,2021.0
150.0,238.346.000631,"Кабель коаксиальный MTC 1 1/4 гибкий, оболочка огнестойкая безгалогеновая (MC114FZ-50)",Метр,3000.0,2990.0,10.0,",22",",22",",09",",004356",13.068,101,05.06.2020,238.0,АФУ,0,6.0,2020.0
4.0,249.022.000604,"Мультиплексор Huawei CX600-M2K-B, Тип 4.4-DC, Базовая конфигурация",штука,1.0,0.0,1.0,",1",",35",",38",",0133",0.0133,702,15.07.2020,249.0,Мультиплексоры,0,7.0,2020.0
1.0,141.019.000005,"Кондиционер двублочный MDV, 10.0кВт, настенный (MDUE-36HRN1\MDOU-36HN1-L)",Комплект,3.0,0.0,3.0,"1,36",",85","1,1","1,2716",3.8148,702,11.03.2021,141.0,Кондиционеры,0,3.0,2021.0
2.0,141.019.000014,"Кондиционер двублочный MDV, 10.0кВт, подпотолочный (универсальный) (MDUE-36HRN1/MDOU-36HN1-L)",Комплект,1.0,0.0,1.0,",75","1,2","1,35","1,215",1.215,702,11.03.2021,141.0,Кондиционеры,0,3.0,2021.0
3.0,141.012.000022,Термостат комнатный DKN RT 0..30,штука,1.0,0.0,1.0,",1",",1",",04",",0004",0.0004,702,11.03.2021,141.0,Кондиционеры,0,3.0,2021.0
4.0,141.182.000003,Нагреватель дренажный DNX KNT,штука,4.0,0.0,4.0,",05",",2",",2",",002",0.008,702,11.03.2021,141.0,Кондиционеры,0,3.0,2021.0
6.0,252.346.000418,Насос дренажный Sauermann SI-2100,штука,4.0,0.0,4.0,",05",",08",",08",",00032",0.00128,702,11.03.2021,252.0,Кондиционеры,0,3.0,2021.0
7.0,141.346.000195,Решетка наружная IGK/200,штука,1.0,0.0,1.0,",02",",23",",23",",001058",0.001058,702,11.03.2021,141.0,Кондиционеры,0,3.0,2021.0
8.0,141.012.000020,Решетка наружная DKN IGC 200,штука,1.0,0.0,1.0,",03",",23",",23",",001587",0.001587,702,11.03.2021,141.0,Кондиционеры,0,3.0,2021.0
1.0,241.346.002007,Кабель оптический ДПТс-П-144А-10 кН,Метр,8000.0,0.0,8000.0,"1,73","1,24","1,75",",00093038",7.44304,702,16.01.2021,241.0,Кабель для БС,0,1.0,2021.0
1.0,560.002.000250,Счетчик газа NB-IoT Схемотехника-Центр Elster BK-G4T левый,штука,62.0,0.0,62.0,",1",",1",",1",",001",0.062,101,,560.0,IoT,0,1.0,1900.0
2.0,560.002.000251,Счетчик газа NB-IoT Схемотехника-Центр Elster BK-G4T правый,штука,62.0,0.0,62.0,",1",",1",",1",",001",0.062,101,,560.0,IoT,0,1.0,1900.0
3.0,560.002.000250,Счетчик газа NB-IoT Схемотехника-Центр Elster BK-G4T левый,штука,62.0,0.0,62.0,",1",",1",",1",",001",0.062,304,,560.0,IoT,0,1.0,1900.0
4.0,560.002.000251,Счетчик газа NB-IoT Схемотехника-Центр Elster BK-G4T правый,штука,62.0,0.0,62.0,",1",",1",",1",",001",0.062,304,,560.0,IoT,0,1.0,1900.0
9.0,560.002.000250,Счетчик газа NB-IoT Схемотехника-Центр Elster BK-G4T левый,штука,25.0,0.0,25.0,",1",",1",",1",",001",0.025,702,,560.0,IoT,0,1.0,1900.0
10.0,560.002.000251,Счетчик газа NB-IoT Схемотехника-Центр Elster BK-G4T правый,штука,25.0,0.0,25.0,",1",",1",",1",",001",0.025,702,,560.0,IoT,0,1.0,1900.0
1.0,560.002.000248,Счетчик газа NB-IoT Icbcom ВК-G4Т(NIS-G-v1) правый,штука,62.0,0.0,62.0,",1",",1",",1",",001",0.062,101,25.11.2020,560.0,IoT,0,11.0,2020.0
2.0,560.002.000249,Счетчик газа NB-IoT Icbcom ВК-G4Т(NIS-G-v1) левый,штука,62.0,0.0,62.0,",1",",1",",1",",001",0.062,101,25.11.2020,560.0,IoT,0,11.0,2020.0
3.0,560.002.000248,Счетчик газа NB-IoT Icbcom ВК-G4Т(NIS-G-v1) правый,штука,62.0,0.0,62.0,",1",",1",",1",",001",0.062,304,25.11.2020,560.0,IoT,0,11.0,2020.0
4.0,560.002.000249,Счетчик газа NB-IoT Icbcom ВК-G4Т(NIS-G-v1) левый,штука,62.0,0.0,62.0,",1",",1",",1",",001",0.062,304,25.11.2020,560.0,IoT,0,11.0,2020.0
9.0,560.002.000248,Счетчик газа NB-IoT Icbcom ВК-G4Т(NIS-G-v1) правый,штука,25.0,0.0,25.0,",1",",1",",1",",001",0.025,702,25.11.2020,560.0,IoT,0,11.0,2020.0
10.0,560.002.000249,Счетчик газа NB-IoT Icbcom ВК-G4Т(NIS-G-v1) левый,штука,25.0,0.0,25.0,",1",",1",",1",",001",0.025,702,25.11.2020,560.0,IoT,0,11.0,2020.0
1.0,560.002.000154,Датчик вскрытия канализационных люков NB-IoT Схемотехника-Центр Импульс-Л,штука,250.0,0.0,250.0,,,,,,101,23.10.2020,560.0,IoT,0,10.0,2020.0
2.0,560.002.000154,Датчик вскрытия канализационных люков NB-IoT Схемотехника-Центр Импульс-Л,штука,250.0,0.0,250.0,,,,,,304,23.10.2020,560.0,IoT,0,10.0,2020.0
5.0,560.002.000154,Датчик вскрытия канализационных люков NB-IoT Схемотехника-Центр Импульс-Л,штука,100.0,0.0,100.0,,,,,,702,23.10.2020,560.0,IoT,0,10.0,2020.0
2.0,560.002.000152,GNSS-трекер NB-IoT Accent Systems TRK210,штука,63.0,0.0,63.0,",05",",03",",08",",00012",0.00756,304,30.09.2020,560.0,IoT,0,9.0,2020.0
1.0,560.002.000153,LBS-трекер NB-IoT Схемотехника-Центр,штука,500.0,0.0,500.0,,,,,,101,23.10.2020,560.0,IoT,0,10.0,2020.0
2.0,560.002.000153,LBS-трекер NB-IoT Схемотехника-Центр,штука,500.0,0.0,500.0,,,,,,304,23.10.2020,560.0,IoT,0,10.0,2020.0
5.0,560.002.000153,LBS-трекер NB-IoT Схемотехника-Центр,штука,200.0,0.0,200.0,,,,,,702,23.10.2020,560.0,IoT,0,10.0,2020.0
5.0,277.346.000117,"Мобильная базовая станция МБС на базе низкорамного прицепа для транспортировки полноприводным легковым автомобилем, базовая комплектация в составе:",Комплект,1.0,0.0,1.0,,,,,,702,,277.0,КШ,0,1.0,1900.0
6.0,277.346.000117,"Мобильная базовая станция МБС на базе низкорамного прицепа для транспортировки полноприводным легковым автомобилем, базовая комплектация в составе:",Комплект,1.0,0.0,1.0,,,,,,702,,277.0,КШ,0,1.0,1900.0
1.0,455.466.000144,"Маршрутизатор Cisco ASR1002-HX System, 4x10GE, 4x1GE, 2xP/S в составе: ASR1002-HX, ASR1K-BB, SLASR1-AIS, SFP-10G-LR, M-ASR1002HX-16GB, NIM-BLANK, SASR1KHXNPEK9-165, FLSASR1-BB, FLSASR1-BB-4K, ASR1KX-DC-950W-D, EPA-BLANK, FLSASR1-BB-16K",штука,2.0,0.0,2.0,",25",",6",",8",",12",0.24,К04,31.12.2020,455.0,Группы вне проекта,0,12.0,2020.0
2.0,249.377.000778,"Модуль 10GBASE-LR SFP Module, Enterprise-Class SFP-10G-LR-S=",штука,16.0,0.0,16.0,",01",",15",",12",",00018",0.00288,К04,31.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
1.0,355.690.003102,"Усилитель коаксиальный домовой Foro SMA 177D 42дБ, 114дБмкВ, 47..862МГц",штука,30.0,0.0,30.0,",05",",15",",2",",0015",0.045,304,,355.0,Группы вне проекта,0,1.0,1900.0
1.0,560.002.000247,"Счетчик газа NB-IoT Турбулентность-ДОН G4/G6, Гранд SPI-4",штука,125.0,0.0,125.0,",1",",1",",1",",001",0.125,101,12.11.2020,560.0,IoT,0,11.0,2020.0
2.0,560.002.000247,"Счетчик газа NB-IoT Турбулентность-ДОН G4/G6, Гранд SPI-4",штука,125.0,0.0,125.0,",1",",1",",1",",001",0.125,304,12.11.2020,560.0,IoT,0,11.0,2020.0
5.0,560.002.000247,"Счетчик газа NB-IoT Турбулентность-ДОН G4/G6, Гранд SPI-4",штука,50.0,0.0,50.0,",1",",1",",1",",001",0.05,702,12.11.2020,560.0,IoT,0,11.0,2020.0
2.0,249.377.000778,"Модуль 10GBASE-LR SFP Module, Enterprise-Class SFP-10G-LR-S=",штука,16.0,0.0,16.0,",01",",15",",12",",00018",0.00288,К04,31.12.2020,249.0,Мультиплексоры,0,12.0,2020.0
10.0,455.466.000148,"Маршрутизатор Cisco ASR1002-HX System, 4x10GE, 4x1GE, 2xP/S, optional crypto, тип 4.1 в составе:",штука,2.0,0.0,2.0,1,1,1,1,2,К04,31.12.2020,455.0,Группы вне проекта,0,12.0,2020.0
17.0,132.346.000740,"Диплексер Fiberhome 2540..2670/2595..2615МГц, одинарный, 4.3-10F, -160дБн, IP67 (FHTC-2540-2670-2-200M01/W)",штука,259.0,0.0,259.0,",14",",23",",32",",010304",2.668736,304,20.12.2020,132.0,АФУ,0,12.0,2020.0
